Model,Actual count,Rows,Mean predicted,Mean absolute error
LightGBM Poisson,0,7822361,0.06757752196840655,0.06757752196840655
LightGBM Poisson,1,422677,0.2216053330179181,0.7807414112501672
LightGBM Poisson,2,54134,0.3528763723514272,1.6471236276485726
LightGBM Poisson,3,8443,0.48311924965612235,2.5168807503438773
LightGBM Poisson,4+,2049,0.6449458381227529,3.7567135078996974
XGBoost Poisson,0,7822361,0.06396915238468139,0.06396915238468139
XGBoost Poisson,1,422677,0.20507033315143466,0.795561558582081
XGBoost Poisson,2,54134,0.31510540693274486,1.6848945930672554
XGBoost Poisson,3,8443,0.41867714519404353,2.5813228548059564
XGBoost Poisson,4+,2049,0.5417362714670153,3.8599230745554345
XGBoost Tweedie,0,7822361,0.05526964247807908,0.05526964247807908
XGBoost Tweedie,1,422677,0.19376624062109665,0.8065784968498155
XGBoost Tweedie,2,54134,0.30360118357186594,1.6963988164281338
XGBoost Tweedie,3,8443,0.4039309372635544,2.5960690627364453
XGBoost Tweedie,4+,2049,0.5227216078376185,3.8789377381848316
HistGradientBoosting Poisson (ordinal categories),0,7822361,0.07659363286350158,0.07659363286350158
HistGradientBoosting Poisson (ordinal categories),1,422677,0.24478002671810234,0.7552200864184909
HistGradientBoosting Poisson (ordinal categories),2,54134,0.36609706294717187,1.633902937052828
HistGradientBoosting Poisson (ordinal categories),3,8443,0.4598849102625653,2.540115089737435
HistGradientBoosting Poisson (ordinal categories),4+,2049,0.5438459041290342,3.8578134418934162
