Model,Predicted bucket,Rows,Mean actual,Mean predicted,Actual/predicted ratio
LightGBM Poisson,"[0, 0.01)",2534963,0.003987434925085692,0.003250053561910494,1.2268828341221982
LightGBM Poisson,"[0.01, 0.05)",2487188,0.024920914703673386,0.02646312098019228,0.9417224341122409
LightGBM Poisson,"[0.05, 0.1)",1274703,0.061894417758489625,0.07173180408405436,0.8628587911432227
LightGBM Poisson,"[0.1, 0.25)",1329795,0.13180302227034993,0.1593371664802658,0.8271957207590608
LightGBM Poisson,"[0.25, 0.5)",574710,0.2970298063371091,0.33460773732902904,0.8876955706646781
LightGBM Poisson,"[0.5, 1)",99453,0.5836123596070506,0.6702331167127956,0.8707602549832475
LightGBM Poisson,"[1, inf]",8852,1.1619972887483054,1.180206342591716,0.9845712964027767
XGBoost Poisson,"[0, 0.01)",2554124,0.003953997534966979,0.0027550515053026327,1.4351809856754913
XGBoost Poisson,"[0.01, 0.05)",2517548,0.024698238126939387,0.027226403035765255,0.9071428970802786
XGBoost Poisson,"[0.05, 0.1)",1281202,0.06330227395836098,0.07106025453882354,0.8908253195712377
XGBoost Poisson,"[0.1, 0.25)",1353270,0.13858505693616205,0.15876911635355,0.8728716271718631
XGBoost Poisson,"[0.25, 0.5)",525520,0.32582775156035926,0.3400313674411167,0.9582285128938374
XGBoost Poisson,"[0.5, 1)",75171,0.6441180774500804,0.6030183997555263,1.0681565897677694
XGBoost Poisson,"[1, inf]",2829,1.6687875574407918,1.1551143614467947,1.4446946667259986
XGBoost Tweedie,"[0, 0.01)",3632516,0.007699346678720754,0.0014604776150515043,5.271800539338793
XGBoost Tweedie,"[0.01, 0.05)",1862652,0.03627569723168901,0.027127954633913244,1.3372072359019642
XGBoost Tweedie,"[0.05, 0.1)",1018516,0.0715973043133343,0.07206561203395374,0.9935016479094246
XGBoost Tweedie,"[0.1, 0.25)",1239052,0.14795343536832997,0.15934710170311414,0.9284978125550588
XGBoost Tweedie,"[0.25, 0.5)",482312,0.3362242697672876,0.3376134582909747,0.9958852691159905
XGBoost Tweedie,"[0.5, 1)",72103,0.6516788483142172,0.594914112562525,1.0954166904987084
XGBoost Tweedie,"[1, inf]",2513,1.7341822522881019,1.0949603113765694,1.5837854890903866
HistGradientBoosting Poisson (ordinal categories),"[0, 0.01)",2140015,0.0023654039808132187,0.0036469904538306208,0.6485906696927911
HistGradientBoosting Poisson (ordinal categories),"[0.01, 0.05)",2565393,0.01885286192018143,0.026234379947088753,0.7186318852667811
HistGradientBoosting Poisson (ordinal categories),"[0.05, 0.1)",1399227,0.05438359894427423,0.07190906521628028,0.75628293568697
HistGradientBoosting Poisson (ordinal categories),"[0.1, 0.25)",1360634,0.11732030803287291,0.15743517691453998,0.7451975494432067
HistGradientBoosting Poisson (ordinal categories),"[0.25, 0.5)",666821,0.26606090690005263,0.3438889809142983,0.7736825593907545
HistGradientBoosting Poisson (ordinal categories),"[0.5, 1)",177557,0.5558778307811013,0.6091396937299111,0.9125621536454563
HistGradientBoosting Poisson (ordinal categories),"[1, inf]",17,1.5294117647058822,1.0059457977046142,1.520371940710645
